epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,114.639,0.97599,1.33944,1.44367,1.15372,0,0.46306,0.66667,0.61,0.23672,0.46306,0.66667,0.61,0.25473,1.04313,0.26483,4.38251,1.19354,0,0.00126896,0.00126896,0.00126896
31,118.126,0.84058,0.77803,1.60838,1.00472,0,0.46306,0.66667,0.61,0.23672,0.46306,0.66667,0.61,0.25473,1.04313,0.26483,4.38251,1.19354,0,0.00129352,0.00129352,0.00129352
32,121.538,0.72451,0.57868,1.27055,0.99131,0,0.46306,0.66667,0.61,0.23672,0.46306,0.66667,0.61,0.25473,1.04313,0.26483,4.38251,1.19354,0,0.00131689,0.00131689,0.00131689
33,124.971,0.91278,1.02929,1.49042,1.08,0,0.46306,0.66667,0.61,0.23672,0.46306,0.66667,0.61,0.25473,1.04313,0.26483,4.38251,1.19354,0,0.00133907,0.00133907,0.00133907
34,128.462,0.80356,0.57517,1.25978,1.10932,0,0.42334,1,0.665,0.499,0.42334,1,0.665,0.54038,0.88799,0.21381,3.41193,1.0239,0,0.0013466,0.0013466,0.0013466
35,131.975,0.83972,1.03814,1.19674,1.09163,0,0.42334,1,0.665,0.499,0.42334,1,0.665,0.54038,0.88799,0.21381,3.41193,1.0239,0,0.0013268,0.0013268,0.0013268
36,135.511,0.63306,0.84163,1.27778,1.01908,0,0.42334,1,0.665,0.499,0.42334,1,0.665,0.54038,0.88799,0.21381,3.41193,1.0239,0,0.001307,0.001307,0.001307
37,139.159,1.16369,1.40249,1.53379,1.25064,0,0.42334,1,0.665,0.499,0.42334,1,0.665,0.54038,0.88799,0.21381,3.41193,1.0239,0,0.0012872,0.0012872,0.0012872
38,142.812,0.78143,0.8097,1.12456,1.01887,0,0.42334,1,0.665,0.499,0.42334,1,0.665,0.54038,0.88799,0.21381,3.41193,1.0239,0,0.0012674,0.0012674,0.0012674
39,146.369,0.7358,0.69423,1.21143,1.06626,0,0.42334,1,0.665,0.499,0.42334,1,0.665,0.54038,0.88799,0.21381,3.41193,1.0239,0,0.0012476,0.0012476,0.0012476
